cell_id,p_hotspot_next
3924.0_253.0,0.7114183010847035
3989.0_148.0,0.7114053035717427
4054.0_258.0,0.7113991142261994
4084.0_78.0,0.7113215828408641
4089.0_88.0,0.711292598264587
3979.0_83.0,0.7112269414103495
4069.0_58.0,0.7111689433571925
3989.0_83.0,0.7111408977616908
3984.0_88.0,0.710920492868239
4019.0_103.0,0.7107986321886454
3979.0_73.0,0.7107869373054683
4054.0_28.0,0.7106819382736579
3989.0_268.0,0.710662868174667
3974.0_83.0,0.7104619106693403
3994.0_68.0,0.7103968410379994
4079.0_118.0,0.7103863726557976
4009.0_178.0,0.7103356927151975
4014.0_118.0,0.7102696986997311
4019.0_33.0,0.710199354055959
4094.0_53.0,0.7101781699285734
4059.0_158.0,0.7100798193090953
4084.0_68.0,0.7099550560185537
4004.0_168.0,0.709953167468346
4004.0_93.0,0.7098982404206049
4084.0_38.0,0.7098062596751405
4069.0_38.0,0.7097307468086734
4079.0_53.0,0.7097141122476031
4019.0_108.0,0.7095949651751451
3909.0_253.0,0.7095499421147549
4069.0_43.0,0.7095237218471262
3994.0_103.0,0.709495956027261
3974.0_213.0,0.7094884830151604
4074.0_38.0,0.7094613903721141
4039.0_168.0,0.7094499939661895
4094.0_48.0,0.70943717771454
4019.0_93.0,0.7092116161990463
4024.0_38.0,0.7091514290081239
4034.0_98.0,0.7091434647468577
4064.0_138.0,0.709083528833477
4099.0_58.0,0.7090353140237737
3989.0_273.0,0.7088118204084654
4089.0_73.0,0.7088005655070332
4054.0_183.0,0.7087874710715443
4024.0_188.0,0.7087743414863305
4054.0_38.0,0.708717783070404
3979.0_93.0,0.7086940316260076
4084.0_48.0,0.708597867962007
4049.0_28.0,0.7085640864481333
3974.0_68.0,0.7083995329134025
3999.0_163.0,0.7082054255117425
4079.0_88.0,0.7081605085068852
4059.0_243.0,0.7081044604836519
4084.0_103.0,0.7079634222534612
4089.0_128.0,0.7079162947978457
3999.0_123.0,0.7078640247685968
3919.0_253.0,0.7077996468386125
4014.0_83.0,0.7077710366670036
4059.0_43.0,0.7077547668160531
4054.0_83.0,0.707674789169949
4049.0_98.0,0.7076307150624327
4009.0_158.0,0.7076266846115101
4079.0_193.0,0.707617080905076
3984.0_63.0,0.7074471140042002
3999.0_158.0,0.7074091605398306
4059.0_133.0,0.7073492555901986
4054.0_108.0,0.7073469894242644
4044.0_93.0,0.7073425249625824
4064.0_103.0,0.7073229006840624
4059.0_173.0,0.707319125736643
4049.0_23.0,0.7071982196469193
3989.0_68.0,0.7071063704795011
4014.0_63.0,0.7071045641542258
4094.0_88.0,0.7067580190142297
4054.0_68.0,0.7067499435054031
4099.0_83.0,0.7066919945637848
4074.0_48.0,0.7066875530393185
4009.0_78.0,0.7064610796492683
4064.0_108.0,0.7064399313163022
4064.0_28.0,0.7063967517116895
3999.0_193.0,0.7063950469889051
3994.0_188.0,0.7063860373469831
4019.0_183.0,0.7061339611689574
4029.0_38.0,0.7060821268601715
